question,answer
What item do people most often forget when they walk out the door?,21 Cellphone|16 Keys|15 Wallet|08 Glasses|04 Lunch|03 Headphones|03 Work I.D.|03 Water bottle|02 Jacket
What restaurant appetizer do people order most frequently?,24 Cheese sticks|08 Chicken wings|08 Nachos|05 Spinach & artichoke dip|05 Calamari|04 Potato skins|03 Onion rings|03 Cheese fries|02 Chips & salsa
What do people suspect is responsible for echoes or buzzing sounds heard during their phone calls?,46 Bad connection|09 Speaker phone|08 Wiretapping|07 The other person|04 Defective phone|04 Aliens|03 Incoming call / text|02 Electronic interference|01 Their own fault
"When people think about yoga, what’s the first pose that comes to mind after Downward-Facing Dog?",05 Tree|04 Lotus|03 Child’s Pose|02 Sun Salutation|02 Warrior I / II / III|01 Cat|01 Plank|01 Cobra|01 Mountain
How do most people like their eggs?,40 Scrambled|17 Over easy|08 Over medium|06 Sunny side up|04 Fried|03 Don’t like eggs|03 Poached|03 Omelette|02 Hard-boil
What do people fear most?,13 Death|10 Failure|08 Loneliness|08 Heights|07 Spiders|05 Snakes|03 Drowning|03 Bugs|02 Buried alive
On what part of the body would people most like to have plastic surgery performed?,41 Belly|10 Nose|09 Boobs|06 Face|05 Penis|03 Chin|03 Nothing|02 Neck|02 Butt
Who’s the most beloved Muppet?,21 Kermit the Frog|15 Animal|11 Gonzo the Great|11 Fozzie Bear|07 Beaker|05 Swedish Chef|05 Rowlf the Dog|04 Statler & Waldorf|03 Miss Piggy
How do most people define the word “several”?,14 Five (5)|10 Three (3)|08 Seven (7)|03 Six (6)|02 Four (4)|02 Two (2)|01 Eight (8)|01 Ten (10)|01 Twenty (20)
What’s the most overused phrase or expression in the workplace?,06 “Synergy”|04 “TGIF”|03 “It is what it is.”|02 “The customer is always right.”|02 “Mondays suck.”|02 “At the end of the day...”|02 “Working hard or hardly working?”|02 “Circle back”|02 “Touch base”
Which body part do people normally need massaged more than other parts?,42 Back|24 Shoulders|15 Neck|04 Feet|03 Penis|03 Legs|01 Head|01 Ankles|01 Buttocks
What do people find to be the most annoying habit in a sleep partner?,"45 Snoring|15 Stealing / hogging covers|07 Hogging bed|05 Tossing, turning|05 Kicking|03 Farting|02 Grinding teeth|02 Radiating heat|01 Clinging / spooning"
Who do people believe is the lamest comic book superhero?,30 Aquaman|13 Superman|07 Green Lantern|03 Hawkeye|02 Ant-Man|02 Jubilee|02 Plastic Man|02 Robin|02 Spider-Man
What is the hardest thing for people to give up for 40 days?,18 Internet|06 Cellphone|05 Masturbation|05 Eating|04 Sweets|04 Sex|04 Gaming|04 Soda|03 Smoking
"When making a wish at a fountain, which coin denomination do people most often throw in and wish on?",71 Penny|14 Quarter|06 Nickel|04 Dime|02 All their change|01 None|01 Lowest they have|01 Tuppence|01 Two dollars
At which sport would people most like to be the best in the world?,15 Baseball|11 Basketball|09 Soccer|07 American football|06 Golf|06 Tennis|05 Hockey|03 Bowling|03 Swimming
What cartoon cereal mascot do people think would be the most annoying roommate?,"24 Sonny the Cuckoo Bird|21 Trix Rabbit|21 Tony the Tiger|08 Lucky the Leprechaun|07 Toucan Sam|03 Count Chocula|02 Cookie Crook|02 Snap, Crackle & Pop|02 Cap’n Crunch"
"If there could be one more U.S. president added to Mount Rushmore, whose head do people most think it should be?",30 Barack Obama|15 Franklin D. Roosevelt|14 Ronald Reagan|11 John F. Kennedy|05 Bill Clinton|04 Donald Trump|02 Abraham Lincoln|02 George Bush|02 Jimmy Carter
In what superstitious behavior do people most often engage?,19 Knocking on wood|10 Not walking under ladders|07 Throwing salt over shoulder|07 Not stepping on cracks|05 None|02 Crossing their fingers|02 Picking up heads-up pennies|02 Tapping car roof during yellow light|02 Avoiding black cats
Which superhero’s insignia would most people wear on a t-shirt?,27 Batman|10 Superman|07 Captain America|07 Deadpool|07 The Flash|06 Wonder Woman|06 Green Lantern|04 Iron Man|04 Spider-Man
What’s the tastiest flavor of Doritos?,38 Cool Ranch|11 Original Flavor|05 Spicy Sweet Chili|04 Spicy Nacho|02 Taco|01 None|01 Salsa Verde|01 Buffalo Ranch|01 Tangy Cheese
