question,answer
What percentage of people wipe their butts while standing up?,23
What percentage of people said they would keep working at their jobs if they won $900 million in a lottery?,37
What percentage of people use cotton swabs to clean out their ears pretty much every day?,33
"What percentage of people believe that they are not average, not just smarter, but MUCH smarter than the average person?",25
What percentage of people usually let their gas gauges get to or below E before refilling?,29
What percentage of people think Lee Harvey Oswald did NOT act alone in the assassination of JFK?,57
What percentage of people have thrown darts in the past year?,35
What percentage of people take their Oreos apart before eating them?,46
What percentage of people usually try to match their underwear to their outfits?,12
What percentage of people are bigger fans of Star Trek than Star Wars?,31
What percentage of people have chewed a piece of gum in the past month?,69
What percentage of people think Splash is a better mermaid movie than The Little Mermaid?,24
What percentage of people do NOT poop anywhere other than in their own homes whenever possible?,54
What percentage of people wear socks when they sleep at night?,16
What percentage of people believe there are aliens out there somewhere in the universe?,85
"What percentage of people have misrepresented their weight on driver’s licenses, even to a small degree?",50
What percentage of people admit feeling obligated to “Like” friends’ Facebook posts?,62
"What percentage of people have entered and finished full, 26.2-mile marathons?",2
"In a typical month, what percentage of people stay in bed past noon at least once?",64
What percentage of people try to avoid direct skin contact when they reach for public doorknobs?,26
What percentage of people are comfortable being naked in rooms outside of their bedrooms or bathrooms when they’re home alone?,77
What percentage of people inside elevators usually attempt to close the door quickly on people racing to catch it instead of holding it open?,11
What percentage of people make their beds every day?,20
What percentage of people rinse shampoo out of their hair while facing the shower spray (instead of having their back to it or being directly under it)?,19
What percentage of people would trust at least one of their parents to choose great marriage partners for them?,16
What percentage of audience members will NOT give standing ovations if the rest of the audience remains seated?,40
What percentage of people have visited cemeteries where nobody they knew was buried?,73
What percentage of people ALWAYS wear green on St. Patrick’s Day?,28
"What percentage of people have tried to taunt, trick or harass email scammers?",37
What percentage of people have all the information on at least one of their credit cards memorized?,32
"In the past year, what percentage of people have flipped through hard-copy phone books?",32
What percentage of people would rather receive gift cards from iTunes than from Amazon.com?,5
What percentage of people have marched in social or political protests?,26
What percentage of people prefer to have blood drawn from their right arm?,25
What percentage of people have more plastic hangers in their closets than wooden or wire ones?,83
What percentage of people would rather have a cockroach problem than a mouse problem in their homes?,28
What percentage of people ignore pennies they see on the ground rather than picking them up?,44
What percentage of people are superstitious about blowing out all their birthday candles in one breath?,42
What percentage of people are neat freaks?,21
"What percentage of people, at any time in their lives, have cried after bad haircuts?",24
What percentage of people prefer to watch Family Guy over The Simpsons?,36
"When given the choice of mild, medium or hot salsa, what percentage of people choose hot?",24
What percentage of people did not read a single novel in the past year?,30
What percentage of people never get popcorn when they go to the movie theater?,17
What percentage of people straight up drink a glass of milk every day?,11
What percentage of people would choose immortality even if their friends and family would live normal lifespans?,47
"Instead of “quarter to” or “quarter of,” what percentage of people say it’s “quarter ‘til” when it’s 15 minutes before the hour?",42
"If able to travel to any point in time, what percentage of people would choose to go back to a point earlier in their own lives?",23
What percentage of people are still friends with ALL of their exes?,8
What percentage of people have seen the movie Titanic more than twice?,54
What percentage of people have at least one expired item in the fridge right now?,82
What percentage of people have gone bowling alone?,17
"When seeing their neighbors in passing, what percentage of people normally do NOT greet them using their first names?",63
What percentage of people CAN stop themselves from reading movie or TV spoilers when seeing “spoiler alert” warnings?,76
What percentage of people usually fold triangular slices of pizza before biting into them?,11
What percentage of women have more pairs of dress shoes than close friends?,38
What percentage of people would rather come up with different usernames than different passwords?,30
What percentage of people have more than 20 apps on their smartphones that they haven’t used in over a year?,20
What percentage of people LOVE amusement park rides that spin them in circles very fast?,26
What percentage of men prefer electric razors as their go-to face-shaving device?,38
What percentage of women use wax more frequently than other body hair bulk-removal methods?,5
What percentage of people regularly purchase peanut butter and jelly packaged together in one jar?,3
What percentage of people prefer The Rolling Stones to The Beatles?,23
What percentage of people have cried at weddings (other than their own)?,40
What percentage of people have vaped?,32
"What percentage of people prefer to stay cool in their cars by means of open windows, not AC?",19
What percentage of people are more scared by possessed dolls than possessed children in horror films?,48
What percentage of people can fully arch their left and right eyebrows independently of each other?,42
What percentage of people have used a search engine to get information about someone before a first date?,39
What percentage of people prefer the Lord of the Rings novels to the Harry Potter novels ?,35
What percentage of people stash “private” photos on their computers in a file folder with a misleading name?,21
What percentage of people use images of their pets as wallpaper for their desktops or phones?,11
What percentage of people dispose of hard copy financial statements in a shredder?,55
What percentage of people call winter their favorite season?,15
What percentage of men have used cologne in the last month?,48
What percentage of people believe they have seen ghosts?,25
What percentage of people are current members of fraternal service organizations?,6
What percentage of pedestrians compose text messages while walking?,64
What percentage of people have been to nude beaches?,13
"What percentage of people prefer DC Comics characters (Superman, Batman, etc.) to Marvel characters (Iron Man, Captain America, etc.)?",33
What percentage of people have voted for someone on an election ballot just because they liked the person’s name?,40
What percentage of callers prefer total silence to music when on hold with customer service?,21
What percentage of people have worn fanny packs?,65
