question,answer
The Price is Right Games?,Plinko|Side by Side|Hi Lo|Lucky Seven|Cliff Hangers|Take Two|Buy or Sell|3 in a Row|2 for the Price of 1|Secret X|Pass the Buck
Countries Containing the Alps?,Austria|France|Germany|Italy|Liechtenstein|Monaco|Slovenia|Switzerland
Countries on the Arabian Peninsula?,Yemen|Oman|Qatar|Saudi Arabia|Bahrain|Kuwait|United Arab Emirates
Noble Gases?,Helium|Neon|Argon|Xenon|Krypton|Radon
Original Mighty Morphin Power Rangers?,Red Ranger|Black Ranger|Blue Ranger|Yellow Ranger|Pink Ranger|Green Ranger
Sharks?,Hammerhead|Tiger|Lemon|Whale|Bull|Goblin|Mako|Basking|Cookiecutter|Nurse
Chewing Gum Brands?,Bazooka|Big League Chew|Big Red|Bubblicious|Chiclets|Freedent|Fruit Stripe|Hubba Bubba|Trident|Ice Breakers
Films Released in 3D?,The Peanuts Movie|The Martian|Jurassic World|Inside Out|Guardians of the Galaxy|Pacific Rim|World War Z|The Croods|Life of Pi|Men in Black 3|Prometheus|Katy Perry: Part of Me|Marvel's The Avengers|The Lorax|Hugo|Star Trek Into Darkness|Big Hero 6|Furious 7
Western African Countries?,Ghana|Liberia|Guinea|Sierra Leone
Mythical Creatures With Human Heads?,Mermaid|Centaur|Harpy|Siren|Sphinx|Triton|Medusa|Satyr
U.S. Island Territories?,Guam|Virgin Islands|Puerto Rico
Simple Machines?,lever|inclined plane|wedge|wheel and axle|screw|pulley
Scrabble Tiles Worth 4 Points or More?,V|W|H|Y|F|J|X|Q|Z
Venomous Snakes?,taipan|black mamba|fer-de-lance|cottonmouth|copperhead|boomslang|bushmaster|puff adder
Countries With Capitals That Start With B?,Iraq|Thailand|China|Lebanon|Germany|Switzerland|Colombia|Brazil|Belgium|Hungary
Games That Require Dice?,Balderdash|Clue|Cranium|Parcheesi|The Settlers of Catan|Scattergories|Trivial Pursuit|Yahtzee|Monopoly
Water Pokemon?,Squirtle|Kingler|Gyarados|Totodile|Dewott|Staryu|Golduck|Horsea
Harvard Grads?,Conan O'Brien|Elisabeth Shue|Natalie Portman|Tommy Lee Jones|Barack Obama|Al Gore|Rivers Cuomo
Bone Thugs-n-Harmony Members?,Bizzy Bone|Wish Bone|Layzie Bone|Krayzie Bone|Flesh-n-Bone
Las Vegas Casinos?,Excalibur|Treasure Island|MGM Grand|Mandalay Bay|Golden Nugget|New York - New York|Circus Circus|Flamingo|Bally's|Bellagio
Teenage Mutant Ninja Turtles Characters?,Leonardo|Donatello|Splinter|Rocksteady|Bebop|Krang|Casey Jones|Napoleon Bonafrog|Venus de Milo|April O'Neil
Apples?,golden delicious|gala|Fuji|granny smith|honeycrisp|breeze|cripps pink|ambrosia
Hercules' Labours?,kill a lion|kill a hydra|catch a deer|catch a boar|clean some stables|kill some birds|catch a bull|steal some horses|get a belt|steal some apples|steal some cattle|catch a 3-headed dog
Fried Dough Foods?,beignet|churro|elephant ears|hushpuppies|funnel cake|berliner|paczki|sopaipilla|empanada|cannoli
Movies With Talking Animals?,"Babe|Dr. Dolittle|Zookeeper|Look Who's Talking Now!|Shrek|Beverly Hills Chihuahua|Stuart Little|The Lion, the Witch and the Wardrobe"
Justin Bieber Tattoos?,a seagull|a crown|a koi fish|Selena Gomez as an angel|a knight with a sword|his mom's eyeball|a jester
Pasta Types?,fusilli|vermicelli|ziti|fettucine|lasagna|linguini|cannelloni|mostaccioli|farfalle|tortellini
Ironic Alanis Morissette?,"a black fly in your chardonnay|rain on your wedding day|a free ride when you've already paid|10,000 spoons when you need a knife|good advice that you just didn't take|death row pardon two minutes too late|traffic jam when you're already late"
Letters in the Greek Alphabet?,beta|gamma|epsilon|zeta|eta|mu|xi|omicron|upsilon|chi
Shellfish?,lobster|prawns|mussels|sea urchins|abalone|quahog|scallops|conch
Animals That Lay Eggs?,ostrich|platypus|sea turtle|bullfrogs|alligators|seahorses|robins|lobsters|head lice|tarantulas
Band With Three Members?,"The Police|Green Day|ZZ Top|Crosby, Stills and Nash|The Beastie Boys|Run DMC|Dixie Chicks|TLC|Wilson Phillips|The Three Tenors"
The Jungle Book Animals?,Baloo|Bagheera|King Louie|Shere Khan|Kaa|Winifred|Akela|Raksha
